12 documents , 1 concepts , 186 context features (69419) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -430, end 364, times 7, dT 100, I 1000


map[]

===============  per type  ===============
1.3880815216072276e-05   T=0,K=8:  2224 (0.560) ; 15047 (0.111) ; 13715 (0.087) ; 26207 (0.078) ; 57466 (0.039) ; 25949 (0.022) ; 8909 (0.016) ; 84552 (0.015) ; 56810 (0.008) ; 106502 (0.007) ; 
1.2073263941543959e-05   T=1,K=8:  2224 (0.566) ; 13715 (0.117) ; 26207 (0.098) ; 15047 (0.060) ; 57466 (0.032) ; 25949 (0.030) ; 8909 (0.018) ; 84552 (0.015) ; 17011 (0.009) ; 106502 (0.007) ; 
2.9424699576526406e-05   T=2,K=8:  2224 (0.480) ; 26207 (0.116) ; 15047 (0.108) ; 13715 (0.105) ; 57466 (0.041) ; 25949 (0.025) ; 84552 (0.022) ; 106502 (0.016) ; 17011 (0.014) ; 8909 (0.014) ; 
1.912879999509353e-06   T=3,K=8:  2224 (0.474) ; 26207 (0.152) ; 13715 (0.126) ; 15047 (0.049) ; 57466 (0.044) ; 84552 (0.021) ; 8909 (0.020) ; 17011 (0.020) ; 25949 (0.018) ; 106502 (0.015) ; 
1.9958791937703727e-06   T=4,K=8:  2224 (0.395) ; 13715 (0.206) ; 26207 (0.170) ; 15047 (0.042) ; 57466 (0.037) ; 106502 (0.026) ; 84552 (0.017) ; 25949 (0.017) ; 17011 (0.016) ; 8909 (0.016) ; 
4.178097388756892e-05   T=5,K=8:  2224 (0.379) ; 13715 (0.191) ; 26207 (0.186) ; 57466 (0.051) ; 15047 (0.043) ; 106502 (0.026) ; 17011 (0.025) ; 8909 (0.019) ; 25949 (0.018) ; 84552 (0.016) ; 
3.341567484323834e-05   T=6,K=8:  2224 (0.533) ; 13715 (0.186) ; 26207 (0.131) ; 57466 (0.027) ; 15047 (0.023) ; 106502 (0.021) ; 84552 (0.013) ; 25949 (0.013) ; 17011 (0.011) ; 8909 (0.009) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=8:  2224 (0.484) ; 13715 (0.145) ; 26207 (0.133) ; 15047 (0.062) ; 57466 (0.039) ; 25949 (0.020) ; 84552 (0.017) ; 106502 (0.017) ; 8909 (0.016) ; 17011 (0.014) ; 

0.05031505673468717   T=0,K=9:  67762 (0.165) ; 84295 (0.111) ; 44660 (0.110) ; 74523 (0.084) ; 3630 (0.065) ; nlsj33345 (0.048) ; 84552 (0.046) ; 86108 (0.043) ; 97252 (0.036) ; 67526 (0.030) ; 
0.010749573412369305   T=1,K=9:  67762 (0.163) ; 84295 (0.138) ; 44660 (0.125) ; 74523 (0.087) ; 86108 (0.054) ; 84552 (0.050) ; 67526 (0.045) ; 97252 (0.038) ; nlsj33345 (0.026) ; 64703 (0.023) ; 
0.008512376087692005   T=2,K=9:  67762 (0.193) ; 44660 (0.170) ; 74523 (0.144) ; 84295 (0.075) ; 97252 (0.048) ; 67526 (0.046) ; 84552 (0.043) ; 86108 (0.039) ; nlsj33345 (0.030) ; 83825 (0.018) ; 
0.006371067584059478   T=3,K=9:  67762 (0.293) ; 74523 (0.173) ; 44660 (0.101) ; 84295 (0.095) ; 86108 (0.033) ; 84552 (0.031) ; 97252 (0.029) ; 67526 (0.027) ; nlsj33345 (0.025) ; 41271 (0.017) ; 
0.5659719867520033   T=4,K=9:  67762 (0.269) ; 74523 (0.206) ; 84295 (0.093) ; 44660 (0.087) ; 86108 (0.044) ; 97252 (0.033) ; 84552 (0.028) ; 64703 (0.024) ; 61925 (0.023) ; 83825 (0.022) ; 
0.05833284310720896   T=5,K=9:  67762 (0.310) ; 84295 (0.147) ; 74523 (0.141) ; 44660 (0.075) ; 97252 (0.048) ; 86108 (0.048) ; 3630 (0.025) ; nlsj33345 (0.023) ; 64703 (0.019) ; 84552 (0.019) ; 
0.036364415434533205   T=6,K=9:  84295 (0.252) ; 67762 (0.236) ; 74523 (0.135) ; 86108 (0.056) ; 44660 (0.054) ; 97252 (0.031) ; 64703 (0.028) ; 3630 (0.019) ; nlsj33345 (0.018) ; 61925 (0.018) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=9:  67762 (0.233) ; 74523 (0.139) ; 84295 (0.130) ; 44660 (0.103) ; 86108 (0.045) ; 97252 (0.038) ; 84552 (0.033) ; 67526 (0.027) ; nlsj33345 (0.027) ; 3630 (0.025) ; 

1.424646444272654e-18   T=0,K=10:  61925 (0.272) ; 68335 (0.272) ; 96853 (0.182) ; 10056 (0.171) ; 7793 (0.017) ; 72268 (0.016) ; 103957 (0.012) ; 8909 (0.011) ; 2392 (0.009) ; 70495 (0.007) ; 
4.4630020813550166e-20   T=1,K=10:  61925 (0.364) ; 96853 (0.268) ; 68335 (0.133) ; 10056 (0.128) ; 7793 (0.021) ; 72268 (0.018) ; 103957 (0.014) ; 8909 (0.010) ; 74523 (0.008) ; 13715 (0.007) ; 
