213 documents , 1 concepts , 1144 context features (71976) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 3


map[]

===============  per type  ===============
0.05222976752205962   T=6,K=6:   (0.010) ; 59339 (0.009) ; 42611 (0.006) ; 22209 (0.006) ; 4845 (0.005) ; 85306 (0.004) ; 36232 (0.004) ; 17595 (0.004) ; 2008 (0.003) ; 68641 (0.003) ; 
0.055302368027210745   T=7,K=6:  85306 (0.009) ; 36232 (0.008) ;  (0.007) ; 22209 (0.007) ; 110114 (0.006) ; 4845 (0.005) ; 76335 (0.005) ; 42611 (0.005) ; 26034 (0.005) ; 72627 (0.004) ; 
0.04758364912801836   T=8,K=6:  22209 (0.014) ; 85306 (0.014) ; 63772 (0.013) ; 110114 (0.010) ; 72627 (0.009) ; 68641 (0.007) ; 72610 (0.006) ; 115887 (0.006) ; 36232 (0.005) ; 8343 (0.005) ; 
0.11898022634184881   T=9,K=6:  63772 (0.032) ; 65552 (0.017) ; 110114 (0.012) ; 22209 (0.011) ; 72627 (0.010) ; 68641 (0.009) ; 43206 (0.006) ; 62204 (0.006) ; 106601 (0.006) ; 85306 (0.006) ; 
0.0808515920798744   T=10,K=6:  65552 (0.032) ; 22209 (0.029) ; 110114 (0.017) ; 72627 (0.013) ; 68641 (0.011) ; 28569 (0.010) ; 65174 (0.008) ; 43206 (0.008) ;  (0.008) ; 63772 (0.007) ; 
0.42400523963164427   T=11,K=6:  65552 (0.028) ;  (0.024) ; 22209 (0.021) ; 65934 (0.014) ; 68641 (0.014) ; 28569 (0.012) ; 65174 (0.012) ; 110598 (0.012) ; 14900 (0.010) ; 34451 (0.010) ; 
0.5203961009177263   T=12,K=6:   (0.064) ; 65934 (0.022) ; 65174 (0.020) ; 110598 (0.018) ; 14900 (0.015) ; 85953 (0.015) ; 74691 (0.013) ; 68641 (0.013) ; 28569 (0.013) ; 65552 (0.012) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=6:   (0.012) ; 65552 (0.009) ; 22209 (0.009) ; 68641 (0.005) ; 63772 (0.005) ; 110114 (0.005) ; 72627 (0.005) ; 43206 (0.005) ; 65934 (0.004) ; 65174 (0.004) ; 

0.07697363771295072   T=0,K=7:  48436 (0.004) ; 48372 (0.003) ; 42366 (0.003) ; 115887 (0.003) ; 85665 (0.003) ; 84365 (0.003) ; 103745 (0.003) ; 58350 (0.003) ; 102589 (0.003) ; 99638 (0.003) ; 
0.05258233256469176   T=1,K=7:  75555 (0.004) ; 83763 (0.003) ; 48436 (0.003) ; 84365 (0.003) ; 35958 (0.003) ; 85665 (0.003) ; 110662 (0.003) ; 13068 (0.002) ; 26196 (0.002) ; 35983 (0.002) ; 
0.012942323557893468   T=2,K=7:  75555 (0.003) ; 68996 (0.003) ; 115887 (0.003) ; 13068 (0.002) ; 25731 (0.002) ; 47493 (0.002) ; 48436 (0.002) ; 110662 (0.002) ; 51366 (0.002) ; 30811 (0.002) ; 
0.014911414658340469   T=3,K=7:  67014 (0.003) ; 75555 (0.003) ; 110662 (0.002) ; nlsj9892 (0.002) ; 24109 (0.002) ; 115887 (0.002) ; 3464 (0.002) ; 51366 (0.002) ; 58350 (0.002) ; 59227 (0.002) ; 
