2299 documents , 1 concepts , 4352 context features (86219) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 1000


map[]

===============  per type  ===============

0.042506729543885444   T=0,K=5:  8665 (0.051) ; 110639 (0.039) ; 62204 (0.035) ; 67132 (0.033) ; 19788 (0.024) ; 26886 (0.022) ; 45996 (0.020) ; 15893 (0.013) ; 84234 (0.012) ; 114753 (0.012) ; 
0.04685318517558278   T=1,K=5:  8665 (0.067) ; 67132 (0.044) ; 110639 (0.031) ; 62204 (0.027) ; 26886 (0.018) ; 19788 (0.017) ; 45996 (0.014) ; 15893 (0.014) ; 28588 (0.014) ; 20598 (0.013) ; 
0.03550408343166785   T=2,K=5:  8665 (0.075) ; 67132 (0.035) ; 110639 (0.020) ; 62204 (0.019) ; 26886 (0.015) ; 20598 (0.013) ; 85306 (0.012) ; nlsj107632 (0.012) ; 110114 (0.011) ; 15893 (0.011) ; 
0.04345652192122221   T=3,K=5:  8665 (0.040) ; 62204 (0.035) ; 67132 (0.024) ; 26886 (0.017) ; 15893 (0.014) ; 110639 (0.014) ; 19788 (0.013) ; 114753 (0.012) ; nlsj107632 (0.012) ; 20621 (0.011) ; 
0.042517895201082866   T=4,K=5:  8665 (0.031) ; 62204 (0.026) ; 26886 (0.017) ; 67132 (0.017) ; 114753 (0.015) ; 20598 (0.014) ; 28588 (0.014) ; nlsj107632 (0.013) ; 19788 (0.012) ; 85306 (0.012) ; 
0.022456885430917246   T=5,K=5:  8665 (0.024) ; 67132 (0.022) ; 62204 (0.017) ; 26886 (0.014) ; 28588 (0.014) ; 110639 (0.014) ; 85306 (0.013) ; 48291 (0.013) ; 8909 (0.013) ; nlsj107632 (0.012) ; 
0.011060908879519113   T=6,K=5:  8665 (0.029) ; 62204 (0.018) ; 8909 (0.016) ; 19788 (0.016) ; 68641 (0.016) ; 67132 (0.015) ; nlsj107632 (0.012) ; 80011 (0.012) ; 110639 (0.011) ; 26886 (0.011) ; 
0.03957133965371728   T=7,K=5:  67132 (0.022) ; 8665 (0.021) ; 62204 (0.019) ; 68641 (0.018) ; nlsj107632 (0.016) ; 86219 (0.015) ; 79223 (0.013) ; 80011 (0.012) ; 19788 (0.012) ; 8909 (0.011) ; 
0.05624559441722306   T=8,K=5:  62204 (0.021) ; 68641 (0.021) ; 8665 (0.018) ; 86219 (0.013) ; 8909 (0.012) ; 22209 (0.012) ; nlsj107632 (0.012) ; 48291 (0.011) ; 80011 (0.011) ; 63772 (0.010) ; 
0.07724456196218564   T=9,K=5:  8909 (0.022) ; 62204 (0.016) ; 68641 (0.016) ; 48291 (0.016) ; 8665 (0.013) ; 63772 (0.012) ; 80011 (0.011) ; 86219 (0.011) ; 39482 (0.011) ; 79223 (0.011) ; 
0.06240264610558494   T=10,K=5:  8909 (0.043) ; 68641 (0.021) ; 62204 (0.015) ; 39482 (0.015) ; 63772 (0.013) ; 80011 (0.012) ; 22209 (0.012) ; 8665 (0.012) ; 79223 (0.012) ; 86219 (0.010) ; 
0.05590059592319885   T=11,K=5:  8909 (0.035) ; 68641 (0.027) ; 22209 (0.020) ; 39482 (0.015) ; 86371 (0.015) ; 48291 (0.012) ; 89366 (0.012) ; 11583 (0.012) ; 63772 (0.011) ; nlsj107632 (0.011) ; 
0.03574060517222201   T=12,K=5:  8909 (0.047) ; 22209 (0.021) ; 8665 (0.021) ; 63772 (0.020) ; 39482 (0.013) ; 62204 (0.013) ; 68641 (0.013) ; 75526 (0.012) ; 86371 (0.011) ; 104429 (0.011) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=5:  8665 (0.032) ; 62204 (0.021) ; 8909 (0.018) ; 67132 (0.018) ; 110639 (0.013) ; 68641 (0.013) ; 19788 (0.012) ; nlsj107632 (0.011) ; 26886 (0.011) ; 22209 (0.010) ; 

0.11166135855199273   T=0,K=6:  85306 (0.018) ; 22209 (0.017) ; 20621 (0.014) ; 26943 (0.014) ; 25904 (0.011) ; 104225 (0.011) ; 110606 (0.010) ; 26886 (0.009) ; 62204 (0.009) ; 79526 (0.009) ; 
0.08343639905757436   T=1,K=6:  85306 (0.028) ; 22209 (0.016) ; 20621 (0.015) ; 26886 (0.011) ; 104225 (0.010) ; 110598 (0.010) ; 45996 (0.009) ; 86112 (0.008) ; 26943 (0.008) ; 62204 (0.008) ; 
0.10717672444975167   T=2,K=6:  22209 (0.021) ; 20621 (0.016) ; 26886 (0.015) ; 85306 (0.015) ; 45996 (0.011) ; 104225 (0.011) ; 51701 (0.010) ; 27847 (0.009) ; 8665 (0.009) ; 26943 (0.008) ; 
0.05885665878858785   T=3,K=6:  20621 (0.026) ; 85306 (0.025) ; 22209 (0.023) ; 26886 (0.014) ; 45996 (0.014) ; 8665 (0.013) ; 104225 (0.010) ; 27847 (0.009) ; 26447 (0.008) ; 84494 (0.008) ; 
0.0949211736544016   T=4,K=6:  22209 (0.022) ; 45996 (0.019) ; 20621 (0.017) ; 85306 (0.014) ; 26886 (0.011) ; 84494 (0.011) ; 26447 (0.010) ; 110243 (0.009) ; 27847 (0.009) ; 8665 (0.008) ; 
